codigo_municipio,exercicio_orcamento,codigo_orgao,codigo_unidade,codigo_funcao,codigo_subfuncao,codigo_programa,codigo_projeto_atividade,numero_projeto_atividade,numero_subprojeto_atividade,codigo_elemento_despesa,tipo_fonte,codigo_fonte,valor_atual_categoria_economica,valor_orcado_categoria_economica
048,202200,01,01  ,01,031,0001,2,001,0000,31900300,1,500000000,0,150000
048,202200,02,02  ,04,122,0037,2,002,0000,31900400,1,500000000,0,5000
048,202200,04,04  ,04,122,0037,2,004,0000,31900400,1,500000000,0,10000
048,202200,07,07  ,04,122,0037,2,125,0000,31900400,1,500000000,0,5000
048,202200,08,08  ,12,361,0231,1,005,0000,44905100,1,500100100,0,150000
048,202200,09,09  ,10,122,0037,2,102,0000,33901400,1,500100200,0,5000
048,202200,10,10  ,04,122,0037,2,053,0000,31900400,1,500000000,0,10000
048,202200,11,11  ,20,122,0037,2,056,0000,31900400,1,500000000,0,10000
048,202200,15,15  ,12,361,0231,1,030,0000,44905100,1,540000000,0,40000
048,202200,16,16  ,04,122,0037,2,061,0000,31900400,1,500000000,0,25000
048,202200,20,20  ,18,122,0037,2,066,0000,31900400,1,500000000,0,10000
048,202200,21,21  ,08,243,0131,2,068,0000,33504100,1,500000000,0,20000
048,202200,22,22  ,08,244,0137,2,071,0000,31900400,1,500000000,0,10000
048,202200,23,23  ,04,122,0037,2,072,0000,31900400,1,500000000,0,25000
048,202200,24,24  ,08,244,0137,2,073,0000,31900400,1,500000000,0,10000
048,202200,25,25  ,08,241,0121,2,130,0000,31900400,1,500000000,0,5000
048,202200,27,27  ,18,541,0401,2,075,0000,33903000,1,899000002,0,15000
048,202200,28,28  ,08,122,0037,2,076,0000,31900400,1,500000000,0,10000
048,202200,30,30  ,04,124,0042,2,080,0000,31900400,1,500000000,0,10000
048,202200,31,31  ,04,122,0037,2,081,0000,31900400,1,500000000,0,10000
048,202200,32,32  ,13,392,0307,1,034,0000,44905100,1,500000000,0,20000
048,202200,34,34  ,04,123,0037,2,087,0000,31900400,1,500000000,0,50000
048,202200,35,35  ,04,122,0037,2,122,0000,31900400,1,500000000,0,10000
048,202200,36,36  ,12,122,0037,1,032,0000,44905100,1,500100100,0,40000
048,202200,37,37  ,10,122,0037,2,036,0000,31900400,1,500100200,0,50000
048,202200,39,39  ,04,122,0037,2,133,0000,31900400,1,500000000,0,5000
048,202200,40,40  ,27,122,0037,2,135,0000,31900400,1,500000000,0,5000
048,202200,41,41  ,23,695,0536,2,138,0000,31900400,1,500000000,0,3000
048,202200,42,42  ,23,691,0491,2,140,0000,31900400,1,500000000,0,10000
048,202200,43,45  ,04,122,0037,2,141,0000,31900400,1,500000000,0,8000
048,202200,44,44  ,04,182,0107,2,142,0000,31900400,1,500000000,0,5000
048,202200,44,46  ,18,544,0412,2,143,0000,31900400,1,500000000,0,10000
